ID,Regions,Periods,Within10Km_72,Within20Km_73,Within50Km_74,Within10Km_75,Within20Km_76,Within50Km_77,Within10Km_78,Within20Km_79,Within50Km_80,Within10Km_81,Within20Km_82,Within50Km_83,Within10Km_84,Within20Km_85,Within50Km_86
284,PV30,2020JJ00,98.9,267.0,1260.4,0.7,3.0,16.6,15.8,45.9,212.0,52.0,137.7,647.7,28.2,74.5,356.7
285,PV30,2021JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
286,PV30,2022JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
287,PV30,2023JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
288,PV31,2006JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
289,PV31,2007JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
290,PV31,2008JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
291,PV31,2009JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
292,PV31,2010JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
293,PV31,2011JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
294,PV31,2012JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
295,PV31,2013JJ00,53.9,130.8,449.0,0.6,2.1,7.3,8.4,21.6,81.4,25.2,61.2,211.7,19.7,45.9,148.5
296,PV31,2014JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
297,PV31,2015JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
298,PV31,2016JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
299,PV31,2017JJ00,58.2,139.4,485.3,0.6,2.1,7.3,8.7,21.9,83.2,28.2,67.2,236.7,19.5,45.6,148.1
300,PV31,2018JJ00,59.0,141.6,499.6,0.6,2.1,7.3,8.6,21.7,83.8,28.8,68.6,243.8,18.9,44.2,146.1
301,PV31,2019JJ00,60.2,144.6,510.9,0.6,2.1,7.3,8.9,22.7,87.4,28.8,68.5,245.3,19.7,46.2,152.2
302,PV31,2020JJ00,60.3,145.1,512.6,0.6,2.1,7.4,8.8,22.6,88.3,29.5,70.4,250.8,20.2,47.4,155.8
303,PV31,2021JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
304,PV31,2022JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
305,PV31,2023JJ00,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
