;1996;2000;2003;2006;2008;2010;2012;2015;2017
GM0416;('128', '17');('124', '21');('125', '20');('113', '17');('118', '20');('120', '20');('115', '25');('116', '35')
GM0022;('193', '21');('195', '21');('195', '19');('198', '13');('194', '12');('205', '9');('203', '14');('202', '19')
GM0805;('78', '4');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0545;('92', '8');('93', '13');('90', '19');('88', '18');('89', '19');('87', '18');('87', '18');('77', '19')
GM0326;('45', '2');('45', '2');('45', '4');('', '');('', '');('', '');('', '');('', '')
GM0081;('118', '22');('122', '22');('123', '19');('123', '17');('122', '17');('126', '21');('119', '19');('117', '18')
GM0546;('151', '155');('156', '155');('151', '152');('157', '127');('161', '130');('150', '130');('148', '132');('161', '142')
GM0548;('217', '44');('223', '46');('', '');('', '');('', '');('', '');('', '');('', '')
GM1916;('', '');('', '');('130', '95');('136', '109');('139', '107');('137', '117');('136', '114');('132', '114')
GM0082;('218', '12');('217', '12');('216', '15');('212', '17');('210', '16');('213', '16');('184', '16');('', '')
GM0260;('222', '17');('230', '23');('231', '26');('', '');('', '');('', '');('', '');('', '')
GM1673;('76', '0');('78', '0');('79', '0');('79', '0');('', '');('', '');('', '');('', '')
GM0261;('139', '0');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0552;('46', '3');('48', '3');('46', '3');('', '');('', '');('', '');('', '');('', '')
GM0807;('68', '2');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0694;('109', '10');('111', '12');('115', '16');('112', '18');('106', '18');('99', '17');('98', '17');('', '')
GM0418;('13', '3');('13', '3');('', '');('', '');('', '');('', '');('', '');('', '')
GM0733;('228', '11');('227', '11');('222', '6');('243', '6');('231', '6');('228', '6');('224', '6');('229', '7')
GM0808;('172', '0');('168', '0');('167', '8');('167', '8');('170', '7');('161', '7');('', '');('', '')
GM0140;('237', '4');('251', '4');('254', '4');('250', '4');('250', '3');('259', '1');('236', '1');('236', '1')
GM0329;('91', '0');('92', '0');('91', '1');('96', '8');('98', '8');('94', '6');('', '');('', '')
GM0330;('24', '1');('23', '1');('', '');('', '');('', '');('', '');('', '');('', '')
GM0024;('233', '2');('231', '2');('230', '2');('232', '13');('236', '17');('238', '16');('239', '16');('238', '16')
GM0810;('28', '0');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0811;('121', '8');('', '');('', '');('', '');('', '');('', '');('', '');('', '')
GM0332;('78', '2');('79', '2');('79', '3');('', '');('', '');('', '');('', '');('', '')
